Вопрос;Верный ответ;Неверный ответ;Неверный ответ;Тематика
Как звали отца Татьяны Лариной в романе Пушкина «Евгений Онегин»?;Дмитрий;Андрей;Евгений;Литература
Какой способ передвижения традиционно использует Дед Мороз?;Тройку лошадей;Летающие сани;Оленью упряжку;Другое
В каком году был основан Белорусский футбольный клуб Динамо-Брест?;1960;1967;1963;Спорт
Какой из этих предметов необходимо приобрести первокурснику, поступающему в Хогвартс?;Телескоп;Маховик времени;Метла;Литература
Каким именем Гарри Поттер не назвал своих детей?;Римус;Сириус;Джеймс;Литература
Для чего предназначались первые зонты?;Для защиты от солнца;Для защиты от дождя;Для маскировки;История
В какой цвет окрашивается «чёрный ящик» в авиатехнике?;Оранжевый;Синий;Черный;Другое
Ландыши с каким количестом листьев более распространены?;Два;Четыре;Один;Наука
Какие облака обычно расположены выше других?;Перистые;Слоистые;Высококучевые;Наука
Какова в среднем общая протяженность кровеносных сосудов человека?;Примерно 100 000 км;Примерно 50 000 км;Примерно 250 000 км;Наука
Какая из этих рыб самая большая?;Акула;Серый дельфин;Горбатый кит;Наука
Кто исполнил песню «Я смотрю аниме»?;Данил Кашин;Feduk;Face;Музыка
Как иначе можно назвать врача-терапевта?;Интернист;Отолоринголог;Интерниолог;Другое
Какое животное не зевает?;Жираф;Зебра;Пингвин;Наука
Кто написал поэму «Руслан И Людмила»?;Пушкин;Достоевский;Тургенев;Литература
Какой была кличка собаки, которая первой достигла космического пространства?;Лайка;Стрелка;Белка;История
В каком году образовалась Российская Империя?;1721;882;1782;История
Чем занимается нутрициолог?;Гигиеной питания;Ланшафтным дизайном;Разведением нутрий;Другое
Какое значение имеет музыкальный термин «Аллегро»?;Бодро;Протяжно;Спокойно;Музыка
В каком году был запущен видеохостинг YouTube?;2005;2001;2007;История
Какой советский спортивный комментатор являлся актером Московского Художественного театра?;Николай Николаевич Озеров;Алексей Иванович Бурков;Владимир Иванович Перетурин;Спорт
В какой сказке тыква превращается в карету?;Золушка;Принцесса на горошине;Спящая красавица;Литература
Сколько органов чувств у человека ?;6;4;7;Наука
Кто из композиторов НЕ входил в содружество «Могучая кучка»?;П. И. Чайковский;Ц. А. Кюи;А. П. Бородин;Музыка
Какая из этих наук изучает горные породы?;Петрология;Романология;Никология;Наука
Как звали персонажа с четырьмя руками в серии игр «Mortal Kombat»?;Горо;Рейден;Люкен;Компьютеры
Кто такие мойры согласно древнегреческой мифологии?;Богини судьбы;Богини бессмертия;Богини любви;Литература
Какой период охватывает «Золотой век пиратства»?;17 век;16 век;15 век;История
Какое море считается самым солёным?;Красное море;Средиземное море;Чёрное море;География
Какой из этих видов приматов ядовитый?;Толстый лори;Чернорукий гиббон;Карликовый долгопят;Наука
В каком направлении происходит суточное вращение Земли?;С запада на восток;Вращения не происходит;С востока на запад;Наука
Сколько весит кубок мира FIFA?;6,2 кг;3,8 кг;5 кг;Спорт
В каком году была выпущена видеоигра «Need for Speed: Carbon»?;2006;2005;2007;Компьютеры
Кто из перечисленных императоров дольше занимал свой пост?;Павел I;Петр III;Петр II;История
Какой из этих городов находится в Японии?;Иокогама;Шанхай;Сеул;География
Какая российская гимнастка стала двукратной олимпийской чемпионкой?;Евгения Канаева;Яна Кудрявцева;Алина Кабаева;Спорт
К какому типу территории относится Калининградская область?;Полуэкслав;Анклав;Эксклав;География
Как звали няню Пушкина?;Арина Родионовна;Алёна Фролова;Анна Ивановна;История
С какой телепередачей сравнивала свою квартиру мама Дяди Фёдора в мультфильме «Зима в Простоквашино»?;Что Где Когда;КВН;В мире животных;Кино и сериалы
Один из видов каких животных называется «морской дьявол»?;Скатов;Морских котиков;Муренов;Наука
Как называется большое стадо овец?;Отара;Клин;Стая;Другое
Сколько уникальных строк длиной в три символа можно составить из нулей и единиц?;8;6;9;Другое
Какая кличка у самой высокой в истории лошади?;Семпсон;Геркулес;Оникс;Другое
Какая порода лошадей считается самой дорогой?;Английская чистокровная;Новоалександровская тяжелоупряжная;Орловский рысак;Другое
Как зовут дочку Джона и Мэри Ватсон из сериала «Шерлок»;Рози;Джейси;Молли;Кино и сериалы
Из скольких шаров лепят снеговиков в Японии?;2;4;3;Другое
Какие испытания входят в конное троеборье?;Манежная езда, конкур, кросс;Конкур, вольтижировка, скачки;Манежная езда, драйвинг, кросс;Спорт
Как называется российская телевизионная премия?;ТЭФИ;ЭММИ;НИКА;Другое
Как называется одна тысячная доля?;Промилле;Микрон;Процент;Наука
Какое слово выкладывал Кай из льдинок в сказке «Снежная королева»?;Вечность;Любовь;Мама;Литература
Как назывался автомобиль охотников за привидениями?;ECTO-1;VECTOR-1;NECT-1;Кино и сериалы
В каком городе существует единственный в мире плавучий приют для кошек?;Амстердам;Гамбург;Венеция;Другое
Какая из этих планет расположена к Солнцу ближе других?;Венера;Марс;Уран;Наука
Где в Лос-Анджелесе ежегодно проводится церемония награждения «Оскар»?;Театр «Долби»;Стэйплс-центр;Голливуд - боул;Кино и сериалы
Как можно определить возраст рыбы?;По чешуе;По глазам;По жабрам;Другое
Как звали первую императрицу Российской империи?;Екатерина I Алексеевна;Анна I Иоанновна;Софья Алексеевна;История
Режиссёром какого фильма является Дэвид Линч?;Дикие сердцем;Поющие в терновнике;Унесенные ветром;Кино и сериалы